OXOX   XXOXXXOXX  O OOO O;(4, 3);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
XXOO XXOX  OXOO  XX O OXO;(4, 5);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
 XXO XO OX X XXOO XOO XOO;(3, 3);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
OOXXO     XXOOOOXXXO OX X;(2, 3);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
 XOXXXOXOO  XXOOX  OX O O;(3, 2);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
  X  O OXXOOOOXXOXXO  OXX;(2, 2);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
 O XO XXOX XOOXO OXOO X X;(4, 2);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
O OO XOOOXOXX O  X XXX OX;(3, 4);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
OXXOOOXXOXXO   XOX  O X O;(3, 3);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
OXOO XXOXOXX X  OOOX OX  ;(3, 3);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
XXOOXX OOX O O X  XOX OOX;(3, 3);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
 OO XOX  XOXXXOO OX XOXO ;(2, 4);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1);(-1, -1)
